pali_1,pos,meaning_1,root,pattern,sbs_class
vuṭṭhi,fem,rain; rainfall,√vass 1,i fem,8
vutta 2.1,pp,said; told; spoken; mentioned,√vac,a pp,11
vutti 1,fem,livelihood; way of being; way of life; behaviour,√vatt,i fem,8
vusita 1,pp,fulfilled; completed; finished,√vas 1,a pp,11
vūpakaṭṭha,pp,secluded (from); isolated (from); withdrawn (from),√kas 1,a pp,14
vūpasama 1,masc,peace (of); calming (of); subsiding (of); settling (of),√sam 1,a masc,2
vūpasameti 1,pr,quells; settles; causes to become calm; causes to subside,√sam 1,eti pr,14
veti,pr,disappears; perishes; goes away; wanes,√i 1,eti pr,5
veda 1,masc,joy; inspiration; excitement; uplifting emotion,√vid 2,a masc,2
vedanā 1,fem,"(pleasant, unpleasant or neutral) felt experience; feeling; sensation; second of the five aggregates",√vid 1,ā fem,7
veditabba 1,ptp,can be known (by); should be understood (by),√vid 1,a ptp,14
vedeti 1,pr,feels; experiences; senses,√vid 1,eti pr,3
vepulla 1,nt,expansion; full development; maturity,√pul,a nt,9
veyyākaraṇa 1,nt,answer; reply,√kar,a nt,9
vera,nt,hatred; ill-will; animosity; antagonism; hostility,√vīr,a nt,9
vesālī,fem,name of a city; capital of the Licchavis,,ī fem,8
vehāsaṃ,ind,in the air; in the sky,,,13
vokiṇṇa 1,pp,strewn (with); covered (with); mixed up (with),√kir,a pp,11
voropeti,pr,deprives (of); removes (from); cuts off (from); takes down (from),√ruh,eti pr,14
vosāna 1,nt,perfecting; accomplishing; attaining; mastering,√sā,a nt,9
vossagga 1,masc,generosity; donation; giving,√sajj 1,a masc,2
voharati 1,pr,speaks; communicates; gives expression; uses language,√har 1,ati pr,3
vyākaraṇa 1,nt,answering; replying,√kar,a nt,9
haññati 2,pr,is hurt; is killed; is destroyed,√han,ati pr,13
haññamāna 1,prp,being struck (by); being beaten (by),√han,māna prp,13
hata 2,pp,killed (by); slain (by),√han,a pp,11
hattha 1,masc,hand,,a masc,2
hantar 1,masc,striker,√han,ar masc,6
harati 2,pr,takes; steals; robs,√har 1,ati pr,3
harāyati,pr,is ashamed (of); is humiliated (by); is worried (by),√har 4,ati pr,3
haritabba,ptp,could be carried; can be taken,√har 1,a ptp,14
hāraka 1,masc,carrier; bearer,√har 1,a masc,2
hita 3,nt,welfare (of); good (of); benefit (of); blessing,√dhā,a nt,11
hitāya,nt,beneficial (for); advantageous (for),√dhā,a nt,9
hitvā,abs,having left; having left behind; having abandoned,√hā 1,,8
hiri,fem,sense of shame; modesty; conscience; sense of right and wrong; scruples; (comm) originating from inside,√hir,i fem,8
hirimant,adj,having a conscience; with scruples; with an internal sense of right and wrong,√hir,ant adj,6
hirī,fem,sense of shame; modesty; conscience; sense of right and wrong; scruples; (comm) originating from inside,√hir,ī fem,8
hīna 1,pp,low; inferior; deficient,√hā 2,a pp,11
huta 2,pp,offered,√hu,a pp,11
hutvā 1,abs,having been,√hū,,8
huraṃ 1,ind,there; in another world,,,13
hoti 1,pr,is; becomes,√hū,hoti pr,4
hotu 1,imp,may it be (for)!,√hū,hoti pr,4
hotha,imp,may you all be!; I pray you all may be!,√hū,hoti pr,4
hontu,imp,may they be!; they must be!,√hū,hoti pr,4
kabaḷī,masc,lump; morsel; mouthful; lump of food,,ī masc,5
paricita 2,pp,nurtured (by); consolidated (by); fortified (by); strengthened (by); built up (by),√ci 1,a pp,11
vitakka 3,nt,thought; reflection; pondering,√takk,a nt,9
yuñjati 3,pr,gets back; regains,√yuj,ati pr,3
idaṃ 3,ind,here; in this case,,,13
kusīta 2,masc,lazybones; who is slack; inactive person,√sad,a masc,2
thulla 2,adj,coarse; gross; strong,√thūl,a adj,11
adhigama 2,masc,attainment (of); achievement (of),√gam,a masc,2
pūjā 1,fem,veneration (of); homage (to); honour (for),√pūj,ā fem,7
adhigaccheyya 2,opt,would experience; would feel,√gam,ati pr,7
pacchima 1,adj,,,a adj,11
vaggati,pr,jumps; prances; springs; bounces; skips,√vagg,ati pr,3
kuṭika,adj,with a little hut; living in a small shack,√kuṭ 1,a adj,11
